order_id,return_cost
1,300
2,0
3,300
4,300
5,0
6,300
7,0
8,300
9,300
10,300
11,0
12,300
13,300
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,300
23,300
24,300
25,300
26,0
27,300
28,300
29,300
30,300
31,0
32,0
33,300
34,300
35,0
36,0
37,300
38,300
39,0
40,300
41,0
42,300
43,0
44,300
45,300
46,300
47,300
48,300
49,300
50,300
51,0
52,300
53,300
54,300
55,0
56,300
57,0
58,300
59,300
60,0
61,300
62,0
63,0
64,0
65,0
66,0
67,300
68,0
69,0
70,0
71,300
72,0
73,0
74,0
75,300
76,300
77,300
78,0
79,300
80,300
81,300
82,300
83,0
84,0
85,300
86,300
87,0
88,300
89,0
90,300
91,300
92,0
93,300
94,0
95,0
96,0
97,300
98,300
99,0
100,300
101,0
102,300
103,300
104,0
105,0
106,300
107,300
108,0
109,0
110,0
111,300
112,0
113,300
114,300
115,0
116,0
117,0
118,0
119,0
120,300
121,0
122,0
123,300
124,300
125,300
126,300
127,0
128,0
129,300
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,300
138,0
139,300
140,300
141,300
142,0
143,300
144,300
145,0
146,300
147,0
148,0
149,300
150,0
151,300
152,300
153,0
154,0
155,0
156,0
157,0
158,300
159,300
160,0
161,300
162,0
163,0
164,300
165,0
166,0
167,0
168,300
169,300
170,300
171,300
172,0
173,300
174,300
175,300
176,0
177,300
178,0
179,300
180,300
181,0
182,300
183,300
184,300
185,0
186,300
187,300
188,300
189,300
190,0
191,0
192,0
193,300
194,0
195,0
196,300
197,300
198,300
199,0
200,0
201,0
202,0
203,300
204,0
205,300
206,300
207,300
208,0
209,0
210,300
211,0
212,0
213,0
214,300
215,300
216,0
217,0
218,0
219,0
220,300
221,300
222,0
223,300
224,300
225,300
226,300
227,300
228,0
229,300
230,300
231,300
232,300
233,300
234,300
235,300
236,300
237,0
238,0
239,300
240,300
241,300
242,0
243,300
244,0
245,0
246,0
247,300
248,0
249,0
250,300
251,0
252,300
253,0
254,300
255,300
256,0
257,300
258,300
259,300
260,300
261,300
262,0
263,300
264,0
265,0
266,300
267,0
268,300
269,0
270,300
271,0
272,300
273,0
274,0
275,0
276,300
277,0
278,300
279,300
280,300
281,0
282,0
283,300
284,0
285,300
286,300
287,0
288,0
289,0
290,0
291,300
292,300
293,300
294,300
295,300
296,300
297,300
298,0
299,0
300,300
301,0
302,0
303,300
304,300
305,300
306,300
307,0
308,300
309,300
310,300
311,0
312,0
313,300
314,300
315,300
316,300
317,0
318,0
319,0
320,0
321,300
322,0
323,300
324,300
325,0
326,300
327,0
328,0
329,0
330,300
331,300
332,300
333,300
334,300
335,300
336,300
337,300
338,300
339,300
340,300
341,0
342,300
343,300
344,0
345,0
346,0
347,300
348,300
349,300
350,300
351,300
352,300
353,0
354,300
355,300
356,300
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,300
365,0
366,0
367,300
368,0
369,0
370,300
371,300
372,0
373,300
374,300
375,0
376,0
377,300
378,0
379,0
380,300
381,0
382,300
383,300
384,0
385,300
386,0
387,300
388,300
389,300
390,0
391,300
392,0
393,0
394,0
395,0
396,300
397,0
398,0
399,300
400,300
401,300
402,300
403,0
404,300
405,300
406,0
407,0
408,0
409,300
410,300
411,300
412,300
413,300
414,300
415,0
416,0
417,0
418,0
419,0
420,300
421,300
422,0
423,0
424,300
425,300
426,300
427,300
428,0
429,0
430,300
431,300
432,0
433,300
434,300
435,0
436,0
437,0
438,300
439,300
440,0
441,0
442,300
443,300
444,0
445,300
446,0
447,0
448,0
449,0
450,0
451,0
452,300
453,0
454,0
455,300
456,0
457,0
458,300
459,0
460,0
461,300
462,300
463,300
464,300
465,0
466,0
467,0
468,300
469,300
470,0
471,300
472,300
473,0
474,300
475,300
476,300
477,0
478,300
479,0
480,0
481,300
482,300
483,0
484,300
485,300
486,300
487,300
488,0
489,0
490,300
491,300
492,300
493,300
494,0
495,300
496,300
497,300
498,0
499,300
500,300
